#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN4690  SNIa?(LC)  ---  2:11:43.09  +0:41:17.8  0.2000  53654.9  14  YES 
SN5103  SNIa  2005gx  23:59:32.27  +0:44:13.8  0.1570  53653.9  15  YES 
SN5183  SNIa  2005gq  3:33:48.97  +0:42:33.7  0.3700  53647.1  2  YES 
SN5339  SNIa?(LC)  ---  20:27:14.81  -0:18:7.6  0.1380  53651.9  8  YES 
SN5340  SNIa?(LC)  ---  20:28:5.11  -0:16:22.9  0.1940  53631.9  7  YES 
SN5350  SNIa  2005hp  20:28:52.60  -0:46:45.2  0.1750  53656.9  6  YES 
SN5391  SNIa  2005hs  3:29:22.08  -1:5:40.9  0.3000  53656.2  7  YES 
SN5395  SNIa  2005hr  3:18:33.83  +0:7:24.0  0.1160  53662.8  21  YES 
SN6100  SNIa  2005ka  22:13:55.95  +1:5:11.4  0.3190  53660.9  5  YES 
SN5473  SNIa?(LC)  ---  23:38:56.80  +0:23:0.6  0.2783  53652.3  7  YES 
SN5486  SNIa?(LC)  ---  22:12:59.53  -0:24:43.3  0.2295  53650.1  9  YES 
SN5524  SNIa?(LC)  ---  21:6:18.90  -0:59:25.1  0.1226  53654.9  7  YES 
SN5533  SNIa  2005hu  21:54:40.79  +0:24:48.3  0.2200  53663.5  19  YES 
SN5542  SNIa?(LC)  ---  23:28:46.36  +0:23:1.5  0.1732  53666.3  11  YES 
SN5549  SNIa  2005hx  0:13:0.13  +0:14:53.6  0.1180  53664.8  15  YES 
SN5550  SNIa  2005hy  0:14:23.59  +0:19:59.0  0.1300  53669.8  16  YES 
SN5588  SNIa  2005hw  0:9:28.47  +1:9:17.8  0.4110  53658.7  3  YES 
SN5635  SNIa  2005hv  22:12:43.86  -0:2:5.7  0.1700  53660.9  10  YES 
SN5673  SNIa?(LC)  ---  23:35:12.32  +0:47:3.4  0.3790  53660.1  6  YES 
SN5689  SNIa?(LC)  ---  23:51:31.93  +0:49:39.2  0.1713  53657.8  9  YES 
SN5717  SNIa  2005ia  1:11:35.03  -0:0:21.2  0.2500  53661.1  20  YES 
SN5736  SNIa  2005jz  1:31:27.06  -0:37:53.8  0.2500  53662.4  40  YES 
SN5737  SNIa  2005ib  1:31:25.69  -0:36:12.2  0.3930  53660.1  14  YES 
SN5751  SNIa  2005hz  0:46:32.20  +0:50:17.6  0.1310  53663.6  29  YES 
SN5776  SNIa?(LC)  ---  21:54:3.26  -0:18:30.2  0.1292  53649.7  6  YES 
SN5785  SNIa?(LC)  ---  21:54:23.38  +0:5:1.8  0.1480  53639.7  7  NO 
SN5821  SNIa?(SP)  2005hq  20:50:19.78  -0:49:31.0  0.4100  53653.2  5  YES 
SN5844  SNIa  2005ic  21:51:8.69  -0:50:34.6  0.3100  53657.4  15  YES 
SN5879  SNIa?(LC)  ---  2:6:57.84  -0:48:56.0  0.1534  53648.9  8  YES 
SN5890  SNIa?(LC)  ---  22:10:3.75  +0:36:33.1  0.1798  53652.8  8  YES 
SN5916  SNIa?(SP)  2005is  0:21:44.97  -0:19:30.0  0.1740  53660.7  10  YES 
SN5944  SNIa  2005hc  1:56:47.95  -0:12:49.4  0.0460  53667.0  30  YES 
SN5957  SNIa  2005ie  2:19:2.54  -0:16:22.2  0.2800  53662.8  10  YES 
SN5959  SNIa?(LC)  ---  2:32:14.36  -0:18:29.2  0.2091  53664.5  13  YES 
SN5963  SNIa?(LC)  ---  0:44:19.44  +0:28:46.1  0.2360  53664.3  9  YES 
SN5966  SNIa  2005it  1:4:45.69  +0:30:50.1  0.3100  53653.5  7  YES 
SN5993  SNIa?(LC)  ---  1:58:43.78  +0:2:56.6  0.3770  53652.1  6  YES 
