#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN20420  SNIc  2007qw  22:35:29.01  +0:28:56.2  0.1500  54403.0  6  YES 
SN20430  SNIa  2007qj  20:49:40.04  +0:28:7.1  0.1700  54413.9  8  YES 
SN20432  SNIa  2007qk  21:3:14.12  +0:27:26.5  0.3040  54405.1  6  YES 
SN20470  SNIa  2007pz  3:30:25.18  +1:0:34.0  0.1270  54417.8  8  YES 
SN20474  SNIa  2007rg  20:51:20.26  +1:1:8.1  0.2720  54416.0  7  YES 
SN20528  SNIa  2007qr  2:52:29.23  -1:8:22.3  0.1360  54414.9  6  YES 
SN20533  SNIa  2007qt  3:29:25.40  -0:38:46.7  0.3090  54418.4  7  YES 
SN20575  SNIa?(SP)  2007rh  21:41:3.77  +0:8:33.2  0.2240  54414.9  8  YES 
SN20581  SNIa  2007qm  22:30:48.72  +0:0:38.7  0.2050  54415.5  8  YES 
SN20625  SNIa  2007px  0:22:44.01  -0:28:44.4  0.1080  54422.0  8  YES 
SN20626  SNIa?(LC)  ---  0:33:54.18  -0:35:34.9  0.2763  54418.5  7  NO 
SN20677  SNIb  2007qx  0:27:41.78  +1:13:59.6  0.0800  54420.0  7  YES 
SN20687  SNIa  2007ri  1:6:52.35  +1:9:14.6  0.1910  54419.7  7  YES 
SN20718  SNIa  2007rj  1:53:58.86  -0:5:33.6  0.0890  54421.0  9  YES 
SN20721  SNIa?(LC)  ---  21:32:44.37  -0:37:19.6  0.2118  54417.1  8  NO 
SN20764  SNIa  2007ro  1:44:28.99  +0:13:47.2  0.1700  54421.8  6  YES 
SN20768  SNIa  2007qq  2:42:30.21  -0:58:16.2  0.2370  54413.6  7  YES 
SN22284  SNIa  2007sn  22:14:4.42  -0:12:47.5  0.1380  54440.7  3  YES 
SN20821  SNIa  2007rk  3:42:17.43  +1:3:47.3  0.1960  54408.8  8  YES 
SN20834  SNIa  2007rr  1:1:47.80  -0:41:37.1  0.1900  54424.7  8  YES 
SN20838  SNII  2007qv  22:35:7.91  -1:6:37.6  0.0950  54412.0  6  YES 
SN20862  SNIa  2007rn  23:58:1.40  -0:44:15.2  0.2760  54422.0  7  YES 
SN20889  SNIa  2007py  3:29:31.60  +0:30:56.1  0.2090  54415.5  7  YES 
SN20934  SNIa  2007rm  2:21:45.09  +0:51:52.1  0.3000  54422.1  8  YES 
SN20978  SNIa  2007rl  2:21:33.07  -0:22:29.8  0.3300  54419.9  8  YES 
SN21006  SNIa  2007qs  3:11:46.02  +0:5:30.9  0.2900  54410.4  9  YES 
SN21033  SNIa  2007qy  1:55:15.28  +0:38:35.2  0.2400  54420.9  5  YES 
SN21034  SNIa  2007qa  1:52:33.93  +1:14:38.6  0.1090  54426.5  6  YES 
SN21042  SNIa  2007qz  21:0:2.78  +0:49:39.3  0.3200  54419.9  6  YES 
SN21062  SNIa  2007rp  22:13:43.58  +0:23:46.7  0.1490  54423.8  10  YES 
SN21442  SNIa?(LC)  ---  0:27:50.44  +0:35:57.8  0.2124  54419.5  6  YES 
SN21362  SNII  2007sd  3:32:0.58  -0:39:42.7  0.0900  54425.1  4  YES 
SN21365  SNIa?(LC)  ---  23:23:28.84  -0:22:6.7  0.2820  54416.6  3  YES 
SN21422  SNIa  2007rq  0:53:32.11  +0:54:1.0  0.2700  54422.0  7  YES 
SN21455  SNIa  2007sc  2:15:11.87  +0:32:9.3  0.2690  54424.9  5  YES 
SN21502  SNIa  2007ra  23:34:23.95  -0:53:25.2  0.0890  54427.0  7  YES 
SN21510  SNIa  2007sh  0:29:24.67  +0:49:53.4  0.1500  54430.7  5  YES 
SN21669  SNIa  2007rs  0:46:27.40  -1:3:44.2  0.1240  54429.0  5  YES 
SN21683  SNIa?(LC)  ---  22:42:23.74  +0:31:3.4  0.4560  54416.6  3  YES 
SN21709  SNIa?(LC)  ---  21:46:6.28  -1:2:58.7  0.1590  54424.9  9  NO 
SN21766  SNIa  2007rc  1:50:20.19  -0:24:13.7  0.1280  54399.6  12  YES 
SN21810  SNIa  2007se  22:12:37.10  +0:47:48.2  0.1760  ---  6  --- 
SN21814  SNIa  2007sf  22:48:59.11  +1:12:21.9  0.1000  54433.6  6  YES 
SN21839  SNIa  2007sl  21:13:42.82  -0:50:16.0  0.0950  54438.5  6  YES 
SN21861  SNIa  2007sg  23:19:26.09  -0:54:5.9  0.1880  54432.1  4  YES 
SN22073  SNII  2007sk  1:27:5.25  +1:12:54.5  0.2310  54430.8  3  YES 
SN22075  SNIa  2007si  1:59:51.14  +1:12:59.3  0.1300  54426.0  5  YES 
